Rank Team                            W-L-T    Rating
390  Fort Lewis                      3-8-0      -9.4
391  Valparaiso                      3-8-0      -9.6
392  UW-Stevens Point                7-3-0      -9.7
393  Arkansas Tech                   3-8-0      -9.7
394  Columbia                        0-9-0      -9.8
395  Kentucky Christian              5-6-0      -9.9
396  Ursinus                         7-3-0     -10.0
397  Guilford                        8-2-0     -10.1
398  Hampden-Sydney                  7-3-0     -10.2
399  Centre                          10-0-0     -10.2
400  Edinboro                        3-8-0     -10.4
401  Siena Heights                   6-4-0     -10.4
402  Hobart                          10-0-0     -10.6
403  Fayetteville St                 5-5-0     -10.7
404  Rowan                           7-3-0     -10.8
405  Morehead St                     4-7-0     -10.9
406  Elizabeth City St               4-6-0     -11.0
407  Southern Conn St                2-9-0     -11.1
408  St Francis IL                   4-7-0     -11.3
409  Fort Valley St                  6-4-0     -11.3
410  Utica                           7-3-0     -11.3
411  Salisbury                       6-4-0     -11.5
412  Seton Hill                      3-8-0     -11.7
413  Webber Int'l                    7-3-0     -11.7
414  Montana Tech                    1-9-0     -11.8
415  Gustavus Adolphus               6-4-0     -11.8
416  Texas Lutheran                  9-1-0     -11.9
417  Simon Fraser                    2-9-0     -12.3
418  Lincoln MO                      2-9-0     -12.7
419  Clarion                         2-9-0     -13.1
420  Stetson                         5-6-0     -13.2
421  UW-La Crosse                    3-7-0     -13.2
422  TAMU-Kingsville                 2-9-0     -13.4
423  Waynesburg                      8-2-0     -13.5
424  Stillman                        5-5-0     -13.6
425  Lycoming                        8-2-0     -13.8
426  DePauw                          7-3-0     -13.9
427  Wheaton                         10-0-0     -14.1
428  Valley City St                  9-1-0     -14.1
429  Urbana                          3-8-0     -14.1
430  Framingham St                   9-1-0     -14.3
431  Louisiana College               6-4-0     -14.3
432  Morehouse                       6-4-0     -14.4
433  Ohio Northern                   7-3-0     -14.4
434  Hardin-Simmons                  6-3-0     -14.5
435  Arkansas-Pine Bluff             3-7-0     -14.5
436  Lock Haven                      2-9-0     -14.6
437  Baker                           8-3-0     -14.6
438  Cumberland TN                   6-5-0     -14.7
439  WV Wesleyan                     4-6-0     -14.7
440  St Lawrence                     8-2-0     -14.9
441  Kentucky St                     3-7-0     -15.2
442  Pikeville                       5-6-0     -15.3
443  Monmouth IL                     8-2-0     -15.3
444  Franklin                        8-2-0     -15.5
445  St Ambrose                      5-5-0     -15.6
446  Arkansas-Monticello             2-8-0     -15.6
447  Mississippi Valley St           1-9-0     -15.8
448  Central St OH                   4-6-0     -15.9
449  Savannah St                     0-11-0     -16.0
450  SW Oklahoma St                  3-7-0     -16.1
451  William Jewell                  5-6-0     -16.3
452  Malone                          1-10-0     -16.4
453  Stevenson                       7-3-0     -16.5
454  Carroll WI                      8-2-0     -16.5
455  Oklahoma Baptist                8-3-0     -16.5
456  Coll of Idaho                   4-7-0     -16.6
457  Fairmont St                     3-7-0     -16.7
458  Coe                             5-5-0     -16.7
459  Emory & Henry                   8-2-0     -16.8
460  SW Baptist                      4-7-0     -16.8
461  Morrisville St                  8-2-0     -16.9
462  UW-River Falls                  3-7-0     -16.9
463  Brockport St                    5-5-0     -17.0
464  Mt St Joseph                    8-2-0     -17.4
465  Bridgewater VA                  8-2-0     -17.5
466  Huntingdon AL                   7-3-0     -17.6
467  Adrian                          8-2-0     -17.7
468  South Dakota Tech               2-9-0     -17.9
469  Dixie St                        1-10-0     -17.9
470  Baldwin Wallace                 5-5-0     -17.9
471  Alfred                          5-5-0     -18.0
472  Pacific OR                      6-3-0     -18.0
473  Gettysburg                      5-5-0     -18.1
474  Benedict                        4-6-0     -18.1
475  Franklin & Marshall             5-5-0     -18.4
476  Benedictine KS                  7-4-0     -18.5
477  West Virginia St                2-9-0     -18.6
478  Cumberlands KY                  3-7-0     -18.6
479  Taylor                          5-6-0     -18.7
480  Dubuque                         4-6-0     -19.1
481  Northwestern IA                 8-2-0     -19.2
482  Montana St-Northern             3-8-0     -19.3
483  Virginia-Wise                   2-9-0     -19.4
484  Livingstone                     5-5-0     -19.7
485  Ave Maria                       5-6-0     -19.8
486  Houston Baptist                 2-9-0     -19.8
487  Ottawa                          9-2-0     -20.0
488  Lebanon Valley                  3-7-0     -20.0
489  Cortland St                     5-5-0     -20.0
490  Whitworth                       6-4-0     -20.0
491  Clark Atlanta                   2-7-0     -20.1
492  Otterbein                       5-5-0     -20.2
493  Bethel TN                       5-6-0     -20.2
494  Randolph-Macon                  5-5-0     -20.3
495  Johnson C. Smith                3-7-0     -20.3
496  Mississippi College             0-9-0     -20.3
497  Montclair St                    8-2-0     -20.4
498  Moravian                        5-5-0     -20.5
499  Chicago                         8-1-0     -20.6
500  Maryville                       7-3-0     -20.9
501  Willamette                      5-4-0     -21.0
502  Shaw                            3-7-0     -21.1
503  Juniata                         5-5-0     -21.2
504  St Augustine's                  3-7-0     -21.3
505  Rhodes                          8-2-0     -21.6
506  Bethany WV                      6-4-0     -21.6
507  Augsburg                        4-6-0     -21.6
508  Albion                          6-4-0     -21.8
509  Methodist                       6-4-0     -21.8
510  Friends                         8-3-0     -21.9
511  Illinois College                7-3-0     -22.0
512  RPI                             6-4-0     -22.3
513  Tabor                           7-4-0     -22.3
514  Trinity Int'l                   3-7-0     -22.4
515  Davidson                        0-10-0     -22.5
516  Western Conn St                 7-3-0     -22.5
517  Western New England             8-2-0     -22.9
518  Dickinson                       3-7-0     -22.9
519  Buena Vista                     5-5-0     -23.1
520  Graceland                       6-5-0     -23.1
521  Denison                         6-4-0     -23.3
522  Christopher Newport             7-3-0     -23.3
523  UW-Stout                        2-8-0     -23.3
524  East Texas Baptist              4-6-0     -23.6
525  Claremont-Mudd-Scripps          5-4-0     -23.8
526  Susquehanna                     2-8-0     -23.8
527  Warner U.                       5-5-0     -23.9
528  Westminster PA                  4-6-0     -24.0
529  McMurry                         2-8-0     -24.3
530  Ohio Wesleyan                   6-4-0     -24.4
531  Chowan                          2-8-0     -24.8
532  NW Oklahoma St                  3-7-0     -24.9
533  Union KY                        1-9-0     -25.0
534  Paine                           2-8-0     -25.1
535  MIT                             9-0-0     -25.1
536  Menlo                           3-8-0     -25.1
537  Doane                           7-3-0     -25.1
538  Case Western Reserve            3-7-0     -25.3
539  Evangel                         5-6-0     -25.7
540  Cal Lutheran                    4-5-0     -25.8
541  Springfield                     5-5-0     -26.0
542  Olivet Nazarene                 2-9-0     -26.2
543  Frostburg St                    4-6-0     -26.5
544  Kentucky Wesleyan               5-4-0     -26.5
545  Illinois Wesleyan               4-6-0     -26.5
546  Simpson                         3-7-0     -26.9
547  Hartwick                        2-8-0     -27.0
548  Albright                        6-4-0     -27.2
549  Hope                            6-4-0     -27.5
550  Salve Regina                    6-4-0     -27.6
551  Dickinson St                    7-4-0     -27.7
552  Augustana IL                    5-5-0     -27.8
553  Rose-Hulman                     7-3-0     -27.9
554  Shenandoah                      4-6-0     -28.0
555  North Carolina Wesleyan         5-5-0     -28.1
556  Sterling                        7-4-0     -28.2
557  Millersville                    1-10-0     -28.3
558  UW-Eau Claire                   1-9-0     -28.5
559  King's PA                       4-6-0     -28.5
560  St Scholastica                  10-0-0     -28.5
561  Union NY                        2-8-0     -28.6
562  St Vincent                      4-6-0     -28.7
563  Luther                          5-5-0     -28.9
564  Southern Nazarene               0-11-0     -29.0
565  Concordia NE                    5-6-0     -29.1
566  Washington U.                   4-6-0     -29.2
567  Worcester St                    7-3-0     -29.5
568  Wooster                         4-6-0     -29.6
569  Central Methodist               5-6-0     -29.6
570  Pace                            1-10-0     -29.7
571  Trinity TX                      4-6-0     -29.7
572  Belhaven                        2-9-0     -29.8
573  Endicott                        5-5-0     -29.9
574  Limestone                       1-9-0     -30.0
575  Bethany KS                      6-5-0     -30.3
576  Olivet                          6-4-0     -30.5
577  Geneva                          3-7-0     -30.7
578  Macalester                      9-1-0     -30.7
579  Jamestown                       5-5-0     -30.9
580  Thiel                           4-6-0     -31.0
581  Muskingum                       3-7-0     -31.0
